ctx,key,en,nl,fr,de
,Not available yet,Not available yet,Nog niet beschikbaar,Pas encore disponible,Zurzeit nicht verfügbar
,Not enough titulars,Not enough titulars,Niet voldoende titularissen,Pas assez de titulaires,Nicht genügend Titularen
,not on the playerlist.,not on the playerlist.,niet op de spelerslijst.,pas sur la liste de force.,nicht auf der Spielerliste.
,OK,OK,OK,d'accord,OK
,Ombudsman,Ombudsman,Ombudsman,Médiateur,Ombudsmann
,Optional,Optional,Optioneel,Optionel,Optional
,Optionally,Optionally,Optioneel,En option,Optional
,Order created successfully,Order created successfully,Bestelling succesvol aangemaakt,Commande créée avec succès,Bestellung erfolgreich erstellt
,Order of players,Order of players,Volgorde van spelers,Ordre des joueurs,Reihenfolge der Spieler
,Order the players by adjusting the assigned rating.,Order the players by adjusting the assigned rating.,Rangschik de spelers door de toegekende rating aan te passen.,Triez les joueurs en ajustant la note attribuée.,"Ordnen Sie die Spieler, indem Sie den zugewiesene Elo anpassen."
,Ordering form,Ordering form,Bestelformulier,Formulaire de commande,Bestellformular
,Ordering the book 100 years of Belgian chess history,Ordering the book 100 years of Belgian chess history,Bestellen boek 100 jaar Belgische schaakgeschiedenis,Commander le livre 100 ans d'histoire des échecs en Belgique,Bestellung des Buches 100 Jahre Belgische Schachgeschichte
,Outgoing transfers,Outgoing transfers,Uitgaande transfers,Transferts sortants,Ausgehende Transfers
,Own players on the playerlist,Own players on the playerlist,Eigen spelers op de spelerslijst,Propres joueurs sur la liste de force,Eigene Spieler auf der Spielerliste
,Password,Password,Wachtwoord,Mot de passe,Passwort
,Planning,Planning,Planning,Planification,Planung
,Played,Played,Gespeeld,Joué,Gespielt
,Player,Player,Speler,Joueur,Spieler
,Player home,Player home,Thuisspeler,joueur domicile,Heimspieler
,Player list,Player list,Spelerslijst,Liste de force,Spielerliste
,Player visit,Player away,Uitspeler,joueur extérieur,Auswärtsspieler
,Playerlist saved,Playerlist saved,Spelerslijst opgeslagen,Liste de joueurs enregistrée,Spielerliste gespeichert
,Players with the same assigned rating are not allowed.,Players with the same assigned rating are not allowed.,Spelers met dezelfde toegewezen Elo zijn niet toegelaten,Les joueurs avec le même Elo attribué ne sont pas autorisés.,Spieler mit dem gleichen zugewiesenen Elo sind nicht erlaubt.
,Playing details,Playing details,Speelgegevens,Détails de jeu,Spieldetails
,Playing hours,Playing hours,Speeluren,Heures de jeu,Spielstunden
,Please select a club to view the interclub venues,Please select a club to view the interclub venues,Selecteer een club om de speellokalen te bekijken,Veuillez sélectionner un club pour voir les salles de jeux,"Bitte wählen Sie einen Club aus, um die Interclub-Spielorte anzuzeigen"
,Please select a club to view the interclubs player list,Please select a club to view the interclubs player list,Selecteer een club om de Interclubs spelerslijst te bekijken,Veuillez sélectionner un club pour consulter la liste de force,"Bitte wählen Sie einen Verein aus, um die Interclubs-Spielerliste anzuzeigen"
,Postal address,Postal address,Postadres,Adresse postale,Postanschrift
,postponed,postponed,uitgesteld,reporté,verschoben
,President,President,Voorzitter,Président,Prásident
,president,president,voorzitter,président,Präsident
,President CIS,President CIS,Voorzitter CIS,Président CIS,Prásident CIS
,press_officer,press officer,persverantwoordelijke,attaché de presse,Pressesprecher
,Public,Public,Publiek,Public,öffentlich
,Questions,Questions,Vragen,Questions,Fragen
,Rating manager,Rating manager,Ratingmanager,Responsable du classement ELO,Ratingmanager
,Rating manager Belg.,Rating manager Belg.,Belg. Ratingmanager,Responsable du classement ELO belge,Belg. Ratingmanager
,Rating manager FIDE,Rating manager FIDE,FIDE Ratingmanager,Responsable du classement ELO FIDE,FIDE-Ratingmanager
,RBCF,RCBF,KBSB,FRBE,KSB
,read more,read more,lees meer,en savoir plus,weiter lesen
,Regional,Regional,Regionaal,Régional,Regional
,Registered office,Registered office,Maatschappelijke zetel,Siège social,Sitz der Gesellschaft
,Remarks,Remarks,Opmerkingen,Remarques,Bemerkungen
,Remove transfer,Remove transfer,Transfer verwijderen,Supprimer le transfert,Transfer entfernen
,Report Board Meeting,Report Board Meeting,PV bestuursorgaan,PV organe d'aministration,Bericht Vorstandssitzung
,Report General Assembly,Report General Assembly,PV algemene vergadering,PV Assemblée Générale,Bericht der Generalversammlung
,Reports,Reports,Verslagen,Procès verbaux,Berichte
,Representative BOIC,Representative BOIC,BOIC afgevaardigde,Délegué COIB,Stellvertreter BOIC
,Representative female players,Representative female players,Vertegenwoordiger speelsters,Représentant joueuses,Vertreter für Spielerinnen
,Representative for FIDE & ECU,Representative for FIDE & ECU,Afgevaardigde FIDE & ECU,Représentant pour FIDE & ECU,Vertreter für FIDE & ECU
,Representative titled players,Representative titled players,Vertegenwoordiger  titelspelers,Représentant joueurs titrés,Vertreter für Titelspieler
,Results,Results,Resultaten,Résultats,Ergebnisse
,Results SWAR,Results SWAR,Resulaten SWAR,Résultats SWAR,Ergebnisse SWAR
,Round,Round,Ronde,Ronde,Runde
,Royal Belgian Chess Federation npo,Royal Belgian Chess Federation npo,Koninklijke Belgische Schaakbond vzw.,Fédération Royale Belge des Echecs asbl.,Königlicher Schachbund Belgien VoE
,Saturday,Saturday,Zaterdag,Samedi,Samstag
,Save,Save,Opslaan,Sauvegarder,Speichern
,Save access rights,Save access rights,Toegangsrechten bewaren,Enregistrer les droits d'accès,Zugriffsrechte speichern
,Save anyhow,Save anyhow,Toch opslaan,Sauvegarder quand même,Sparen Sie trotzdem
,Save changes,Save changes,Wijzigingen opslaan,Sauvegarder les modifications,Änderungen speichern
,Save club,Save club,Club bewaren,Enregistrer le club,Verein speichern
,Save enrollment,Save enrollment,Inschrijving opslaan,Enregistrer l'inscription,Anmeldung speichern
,Save player list,Save player list,Spelerslijst opslaan,Sauvegarder la liste de force,Spielerliste speichern
,Save results,Save results,Resultaten bewaren,Sauvegarder les résultats,Ergebnisse speichern
,Secretary,Secretary,Secretaris,Secrétaire,Sekretär
,secretary,secretary,secretaris,secrétaire,Sekretär
,Secretary general,Secretary general,Secretaris-generaal,Secrétaire général,Generalsekretär
,Select a club to view the access rights,Select a club to view the access rights,Selecteer een club om de toegangsrechten te bekijken,Sélectionnez un club pour voir les droits d'accès,"Wählen Sie einen Club aus, um die Zugriffsrechte anzuzeigen"
,Select a club to view the club details,Select a club to view the club details,Selecteer een club om de clubdetails te bekijken,Sélectionnez un club pour afficher les détails du club,"Wählen Sie einen Club aus, um die Clubdetails anzuzeigen"
,Select the club,Select the club,Kles de club,Sélectionnez le cercle,Wählen Sie den Verein aus
,Select the rounds the venue is not available,Select the rounds the venue is not available,Selecteer de ronden waarop het lokaal niet beschikbaar is,Sélectionnez les rondes où le lieu n'est pas disponible,"Wählen Sie die Runden aus, für die der Ort nicht verfügbar ist"
,Selected club,Selected club,Geselecteerde club,Cercle sélectionné,Ausgewählter Verein
,Short name,Short name,Korte naam,Nom court,Kurzer Name
,sign,Sign,Ondertekenen,Signer,Unterschreiben
,Sign in,Sign in,Aanmelden,Identification,Einloggen
,signature,Signature,Ondertekening,Signature,Unterschreibung
,Social media,Social media,Sociale media,Mediasociaux,Sozialen Medien
,Standings,Standings,Stand,Classement,Rangliste
,Start entering planning,Start entering planning,De start voor het invoeren van planning,Le début de la saisie du planning,Der Start zum Einstieg in die Planung
,Start typing number or name,Start typing number or name,Begin met het typen van nummer of naam,Commencez à taper le numéro ou le nom,Beginnen Sie mit der Eingabe der Nummer oder des Namens
,Start typing to filter (clubnumber or name),Start typing to filter (clubnumber or name),Begin met typen om te filteren (clubnummer of naam),Commencez à taper pour filtrer (numéro de club ou nom),"Beginnen Sie mit der Eingabe, um zu filtern (Clubnummer oder Name)"
,Status,Status,Status,Statut,Status
,Statutes,Statutes,Statuten,Statuts,Statuten
,Submit,Submit,Indienen,Soumettre,Einreichen
,Sunday,Sunday,Zondag,Dimanche,Sonntag
,Team,Team,Team,Equipe,Mannschaft
,Telephone number,Telephone number,Telefoonnummer,Numéro de téléphone,Telefonnummer
,Telephone number venue,Telephone number venue,Telefoonnummerr speelzaal,Numéro de téléphone de la salle de jeu,Telefonnummer Veranstaltungsort
,The ELO's are assinged correctly,The ELO's are assinged correctly,De ELO's zijn correct toegewezen,Les ELO sont correctement attribués,Die ELO's sind korrekt zugeordnet
,The interclub administrators have write access to the Interclub Manager,The interclub administrators have write access to the Interclub Manager,De interclubbeheerders hebben schrijftoegang tot de Interclub Manager,Les administrateurs interclubs ont accès en écriture au Interclub Manager,Die Interclub-Administratoren haben Schreibzugriff auf den Interclub Manager
,The interclub captains have write access to the planning and results of the Interclub.,The interclub captains have write access to the planning and results of the Interclub.,De interclubcaptains hebben schrijftoegang tot de planning en resultaten van de Interclub.,Les capitaines interclubs ont accès en écriture au planning et aux résultats de l'interclub.,Die Interclub-Captains haben schriftlichen Zugriff auf die Planungen und Ergebnisse des Interclubs.
,The player list can no longer be modified,The player list can no longer be modified,De spelerslijst kan niet meer veranderd worden,La liste de force ne peut plus être modifiée,Die Spielerliste kann nicht mehr geändert werden
,The player list contains validation errors,The player list contains validation errors,De spelerslijst bevat validatiefouten,La liste de force contient des erreurs de validation,Die Spielerliste enthält Validierungsfehler
,The player list of a club is established in 4 steps,The player list of a club is established in 4 steps,De spelerslijst van een club komt tot stand in 4 stappen,La liste de force d'un club est établie en 4 étapes,Die Spielerliste eines Vereins wird in 4 Schritten erstellt
,The titulars are assigned correctly,The titulars are assigned correctly,De titularissen zijn correct toegewezen,Les titulaires sont attribués correctement,Die Titularen sind korrekt zugeordnet
,The venue is not available on following rounds,The venue is not available on following rounds,Het lokaal is niet beschikbaar in de volgende ronden,La salle n'est pas disponible pour les rondes suivantes,Der Ort ist in den folgenden Runden nicht verfügbar
,There are errors with the assignment of the  titulars,There are errors with the assignment of the  titulars,Er zijn fouten bij de toewijzing van de titularissen,Il y a des erreurs dans l'attribution des titulaires,Es gibt Fehler bei der Zuordnung der Titelaren
,There are players with the same assigned rating.,There are players with the same assigned rating.,Er zijn spelers met dezelfde Elo,Il y a des joueurs avec le même Elo attribué.,Es gibt Spieler mit dem gleichen zugewiesenen Elo.
,There are players wtth the same ELO,There are players wtth the same ELO,Er zijn spelers met dezelfde ELO,Il y a des joueurs avec le même ELO,Es gibt Spieler mit der gleichen ELO
,These members can automatically be added to the playerlist.,These members can automatically be added to the playerlist.,Deze leden kunnen automatisch aan de spelerslijst worden toegevoegd.,Ces membres peuvent être automatiquement ajoutés à la liste de force.,Diese Mitglieder können automatisch zur Spielerliste hinzugefügt werden.
,This is done by adapting the rating of the players.,This is done by adapting the rating of the players.,Dit gebeurt door de rating van de spelers aan te passen.,Cela se fait en adaptant l'Elo des joueurs.,Dies geschieht durch die Anpassung des Elos der Spieler.
,Thursday,Thursday,Donderdag,Jeudi,Mittwoch
,Titular,Titular,Titularis,Titiulaire,Titular
,Titulars must be highest rated players,Titulars must be highest rated players,Titularissen moeten de hoogste Elo hebben,Les titulaires doivent avoir les ELOs les plus élevés,Die Titularen müssen den höchsten ELO haben
,Too many titulars,Too many titulars,Teveel titularissen,Trop de titulaires,Zu viele Titularen
,Tools,Tools,Tools,Outils,Werkzeuge
,Tournament director,Tournament director,Toernooidirecteur,Directeur de tournoi,Turnierleiter
,Tournament rules,Tournament rules,Wedstrijdreglement,Règlement des tournois,Turnierregeln
,tournament_director,tournament director,toernooileider,directeur de tournoi,Turnierleiter
,Transfer of all members to a single club at once.,Transfer of all members to a single club at once.,Transfer van alle leden in één keer naar één club.,Transfert de tous les membres vers un seul club à la fois.,Transfer aller Mitglieder auf einen einzigen Club auf einmal.
,Transgender,Transgender,Transgenders,Transgenres,Transgendern
,Treasurer,Treasurer,Penningmeester,Trésorier,Schatzmeister
,treasurer,treasurer,penningmeester,trésorier,Schatzmeister
,Treasurer a.i.,Treasurer a.i.,Penningmeester a.i.,Trésorier a.i.,Schatzmeister a.I.
,Tuesday,Tuesday,Dinsdag,Mardi,Dienstag
,Useful information,Useful information,Nuttige informatie,Information utile,Nützliche Informationen
,Validation of player list.,Validation of player list.,Validatie van de spelerslijst.,Validation de la liste de force,Validierung der Spielerliste.
,vice_president,vice president,vicevoorzitter,vice-président,Vizepräsident
,Webmaster,Webmaster,Webmaster,Webmaster,Webmaster
,webmaster,webmaster,webmaster,webmaster,Webmaster
,Website,Website,Website,Site web,Webseite
,Wednesday,Wednesday,Woensdag,Mercredi,Mittwoch
,Which versions do you want?,Which versions do you want?,Welke versies wens je?,Quelles versions voulez-vous?,Welche Versionen möchten Sie?
,Wrong combination of username and password,Wrong combination of username and password,Verkeerde combinatie van gebruikersnaam en wachtwoord,Mauvaise combinaison de nom d'utilisateur et de mot de passe,Falsche Kombination aus Benutzername und Passwort
,Yes,Yes,Ja,Oui,Ja
<<<<<<< HEAD
,youth_director,youth director,jeugdleider,directeur de la jeunesse,Jugendleiter
=======
,youth_director,youth director,jeugdleider,directeur de la jeunesse,Jugendleiter
arc,abbrev,Abbreviation,Afkorting,Abréviation,Abkürzung
arc,archive_note,"The Belgian ELO archive is historical and runs up to July 2026. For the most recent FIDE game history and rating calculations, please refer to the player's FIDE profile.","Het Belgisch ELO-archief is historisch en loopt tot juli 2026. Voor de meest recente FIDE-speelgeschiedenis en ratingberekeningen, raadpleeg het FIDE-profiel van de speler.","L'archive ELO belge est historique et s'étend jusqu'en juillet 2026. Pour l'historique FIDE le plus récent et les calculs de classement, consultez le profil FIDE du joueur.",Das belgische ELO-Archiv ist historisch und läuft bis Juli 2026. Für die aktuellste FIDE-Spielhistorie und Ratingberechnungen besuchen Sie bitte das FIDE-Profil des Spielers.
arc,back_to_clubs,Back to clubs,Terug naar clubs,Retour aux clubs,Zurück zu Vereinen
arc,back_to_search,Back to search,Terug naar zoeken,Retour à la recherche,Zurück zur Suche
arc,birthdate,Birthdate,Geboortedatum,Date de naissance,Geburtsdatum
arc,birthyear,Birth Year,Geboortejaar,Année de naissance,Geburtsjahr
arc,black,Black,Zwart,Noir,Schwarz
arc,club_id,Club Number,Clubnummer,Numéro du club,Vereinsnummer
arc,club_name,Club Name,Clubnaam,Nom du club,Vereinsname
arc,club_players_count,Active Members,Ledental,Membres actifs,Aktive Mitglieder
arc,color,Color,Kleur,Couleur,Farbe
arc,date,Date,Datum,Date,Datum
arc,elo_evolution,ELO rating evolution,Verloop ELO-rating,Évolution du classement ELO,ELO-Entwicklung
arc,game_history,Game History,Partijhistoriek,Historique des parties,Partiehistorie
arc,game_nr,Game No.,Partijnr.,N° de partie,Partienummer
arc,gender,Gender,Geslacht,Genre,Geschlecht
arc,last_elo,Last ELO,Laatste ELO,Dernier ELO,Letzte ELO
arc,latest_game,Latest Game,Laatste partij,Dernière partie,Letzte Partie
arc,loading,Loading...,Laden...,Chargement...,Laden...
arc,member_id,Stamnummer,Stamnummer,Matricule,Mitgliedsnummer
arc,nationality,Nationality,Nationaliteit,Nationalité,Nationalität
arc,no_clubs,No clubs found.,Geen clubs gevonden.,Aucun club trouvé.,Keine Vereine gefunden.
arc,no_results,No players found.,Geen spelers gevonden.,Aucun joueur trouvé.,Keine Spieler gefunden.
arc,opponent,Opponent,Tegenstander,Adversaire,Gegner
arc,period,Period,Periode,Période,Periode
arc,player_name,Name,Naam,Nom,Name
arc,players_count,players,spelers,joueurs,Spieler
arc,rating,Rating,Rating,Classement,Wertung
arc,regions_tab,Regions,Regio's,Régions,Regionen
arc,result,Result,Resultaat,Résultat,Ergebnis
arc,search_btn,Search,Zoeken,Rechercher,Suchen
arc,search_club_placeholder,Search club name or number...,Zoek clubnaam of clubnummer...,Rechercher par nom ou numéro de club...,Vereinsname oder Vereinsnummer suchen...
arc,search_club_tab,Search Club,Club zoeken,Rechercher un club,Verein suchen
arc,search_placeholder,Search player name or stamnummer...,Zoek spelersnaam of stamnummer...,Rechercher un nom ou un matricule...,Spielername oder Mitgliedsnummer suchen...
arc,search_player_tab,Search Player,Speler zoeken,Rechercher un joueur,Spieler suchen
arc,selected_club,Selected Club,Geselecteerde club,Club sélectionné,Ausgewählter Verein
arc,title,ELO Archive & Game History,ELO-archief & Partijhistoriek,Archives ELO & Historique des parties,ELO-Archiv & Partiehistorie
arc,total_games,Total Games,Aantal partijen,Nombre de parties,Anzahl der Partien
arc,tournament,Tournament,Toernooi,Tournoi,Turnier
arc,unknown_opponent,Unknown opponent,Onbekende tegenstander,Adversaire inconnu,Unbekannter Gegner
arc,unknown_opponent_hint,"The opponent's name wasn't kept in the source data. This is usually a foreign or FIDE-rated tournament, where only the opponent's rating was recorded, not their name. These games still counted toward the ELO.","De naam van de tegenstander werd niet in de brongegevens bewaard. Dit is meestal een buitenlands of FIDE-toernooi, waarbij alleen de rating van de tegenstander werd bewaard, niet zijn naam. Deze partijen telden wel degelijk mee voor de ELO.","Le nom de l'adversaire n'a pas été conservé dans les données sources. Il s'agit généralement d'un tournoi étranger ou homologué FIDE, où seul le classement de l'adversaire a été enregistré, pas son nom. Ces parties comptaient bel et bien pour le classement ELO.","Der Name des Gegners wurde in den Quelldaten nicht gespeichert. Meist handelt es sich um ein ausländisches oder FIDE-gewertetes Turnier, bei dem nur die Wertungszahl des Gegners erfasst wurde, nicht sein Name. Diese Partien zählten dennoch für die ELO-Wertung."
arc,white,White,Wit,Blanc,Weiß
arc,stamnummer_lookup_hint,"Looking up a membership number here also finds players who aren't currently affiliated. They don't show up in the regular search, only through an exact membership number lookup.","Als u hier een stamnummer opzoekt, vindt u ook spelers die momenteel niet aangesloten zijn. Ze verschijnen niet in de reguliere zoekopdracht, enkel via een exacte stamnummeropzoeking.","La recherche d'un matricule ici permet également de trouver des joueurs qui ne sont pas actuellement affiliés. Ils n'apparaissent pas dans la recherche habituelle, uniquement via une recherche exacte par matricule.","Die Suche nach einer Mitgliedsnummer hier findet auch Spieler, die derzeit nicht angeschlossen sind. Sie erscheinen nicht in der regulären Suche, sondern nur über eine exakte Abfrage der Mitgliedsnummer."
trnreg,title,Tournament Registrations,Toernooiregistratie,Inscriptions aux tournois,Turnieranmeldungen
trnreg,nav_form,Registration form,Inschrijvingsformulier,Formulaire d'inscription,Anmeldeformular
trnreg,nav_list,Registration list,Lijst van inschrijvingen,Liste des inscriptions,Liste der Anmeldungen
trnreg,nav_login,Arbiter login,Arbiter aanmelden,Connexion arbitre,Schiedsrichter-Anmeldung
trnreg,nav_admin,Admin dashboard,Beheerdersdashboard,Tableau de bord admin,Admin-Übersicht
trnreg,nav_logout,Log out,Afmelden,Se déconnecter,Abmelden
trnreg,nav_back_to_form,Back to registration form,Terug naar inschrijvingsformulier,Retour au formulaire d'inscription,Zurück zum Anmeldeformular
trnreg,no_tournament,"No tournament selected. Use a link containing ?trn=<tournament id>, or log in below as an arbiter or organizer.","Geen toernooi geselecteerd. Gebruik een link met ?trn=<toernooi-id>, of meld u hieronder aan als arbiter of organisator.","Aucun tournoi sélectionné. Utilisez un lien contenant ?trn=<id du tournoi>, ou connectez-vous ci-dessous en tant qu'arbitre ou organisateur.","Kein Turnier ausgewählt. Verwenden Sie einen Link mit ?trn=<Turnier-ID>, oder melden Sie sich unten als Schiedsrichter oder Organisator an."
trnreg,loading,Loading...,Laden...,Chargement...,Wird geladen...
trnreg,processing,Processing...,Bezig met verwerken...,Traitement en cours...,Wird verarbeitet...
trnreg,th_dates,Dates,Data,Dates,Termine
trnreg,th_location,Location,Locatie,Lieu,Ort
trnreg,th_time_control,Time control,Tempo,Cadence,Bedenkzeit
trnreg,th_closing,Closing date for registrations,Sluitingsdatum inschrijvingen,Date de clôture des inscriptions,Anmeldeschluss
trnreg,th_obligatory_presence,Mandatory presence,Verplichte aanwezigheid,Présence obligatoire,Anwesenheitspflicht
trnreg,th_categories,Categories,Categorieën,Catégories,Kategorien
trnreg,th_arbiter,Chief arbiter,Hoofdarbiter,Arbitre principal,Hauptschiedsrichter
trnreg,th_organizer,Chief organizer,Hoofdorganisator,Organisateur principal,Hauptorganisator
trnreg,th_website,Website,Website,Site web,Webseite
trnreg,tournament_not_found,Tournament not found.,Toernooi niet gevonden.,Tournoi introuvable.,Turnier nicht gefunden.
trnreg,field_lookup,Search existing player (name or national id),Bestaande speler zoeken (naam of nationaal nummer),Rechercher un joueur existant (nom ou numéro national),Vorhandenen Spieler suchen (Name oder nationale Nummer)
trnreg,lookup_hint,Start typing at least 2 characters to search.,Typ minstens 2 tekens om te zoeken.,Tapez au moins 2 caractères pour lancer la recherche.,"Geben Sie mindestens 2 Zeichen ein, um zu suchen."
trnreg,lookup_searching,Searching...,Bezig met zoeken...,Recherche en cours...,Suche läuft...
trnreg,lookup_no_results,No matching players found.,Geen overeenkomende spelers gevonden.,Aucun joueur correspondant trouvé.,Keine passenden Spieler gefunden.
trnreg,field_last_name,Last name,Achternaam,Nom,Nachname
trnreg,field_first_name,First name,Voornaam,Prénom,Vorname
trnreg,field_sex,Sex,Geslacht,Sexe,Geschlecht
trnreg,sex_m,Male,Man,Masculin,Männlich
trnreg,sex_f,Female,Vrouw,Féminin,Weiblich
trnreg,field_date_birth,Date of birth,Geboortedatum,Date de naissance,Geburtsdatum
trnreg,birth_year_hint,Matched player's birth year,Geboortejaar van de gevonden speler,Année de naissance du joueur sélectionné,Geburtsjahr des gefundenen Spielers
trnreg,field_place_birth,Place of birth,Geboorteplaats,Lieu de naissance,Geburtsort
trnreg,field_country_residence,Country of residence,Land van verblijf,Pays de résidence,Wohnsitzland
trnreg,field_nationality,Nationality,Nationaliteit,Nationalité,Staatsangehörigkeit
trnreg,field_phone,Phone,Telefoon,Téléphone,Telefon
trnreg,field_gsm,Mobile (GSM),GSM,GSM,Mobiltelefon
trnreg,field_email,Email,E-mail,E-mail,E-Mail
trnreg,field_national_id,National id,Nationaal nummer,Numéro national,Nationale Nummer
trnreg,field_national_club,Club (national id),Club (nationaal nummer),Club (numéro national),Verein (nationale Nummer)
trnreg,field_affiliated,Affiliated,Aangesloten,Affilié,Angeschlossen
trnreg,field_fide_id,FIDE id,FIDE-nummer,Numéro FIDE,FIDE-Nummer
trnreg,field_fide_rating_standard,FIDE rating (standard),FIDE-rating (standaard),Classement FIDE (standard),FIDE-Wertung (Standard)
trnreg,field_fide_rating_rapid,FIDE rating (rapid),FIDE-rating (rapid),Classement FIDE (rapide),FIDE-Wertung (Rapid)
trnreg,field_fide_rating_blitz,FIDE rating (blitz),FIDE-rating (blitz),Classement FIDE (blitz),FIDE-Wertung (Blitz)
trnreg,field_fide_title,FIDE title,FIDE-titel,Titre FIDE,FIDE-Titel
trnreg,field_fide_federation,FIDE federation,FIDE-federatie,Fédération FIDE,FIDE-Föderation
trnreg,field_category,Category,Categorie,Catégorie,Kategorie
trnreg,category_placeholder,Select a category,Selecteer een categorie,Sélectionnez une catégorie,Kategorie auswählen
trnreg,field_note,Note,Opmerking,Remarque,Anmerkung
trnreg,field_contact,Contact person,Contactpersoon,Personne de contact,Kontaktperson
trnreg,field_rounds_absent,Rounds the player will be absent,Ronden waarin de speler afwezig zal zijn,Rondes où le joueur sera absent,"Runden, in denen der Spieler abwesend sein wird"
trnreg,field_g_license,G-license,G-licentie,Licence G,G-Lizenz
trnreg,submit_btn,Register,Inschrijven,S'inscrire,Anmelden
trnreg,update_btn,Save changes,Wijzigingen opslaan,Enregistrer les modifications,Änderungen speichern
trnreg,cancel_btn,Cancel,Annuleren,Annuler,Abbrechen
trnreg,submitted_title,Registration confirmed,Inschrijving bevestigd,Inscription confirmée,Anmeldung bestätigt
trnreg,submitted_msg,Your registration has been received. Please save your registration id -- you will need it to edit your registration later.,Uw inschrijving werd goed ontvangen. Bewaar uw inschrijvingsnummer -- u heeft het nodig om uw inschrijving later te wijzigen.,Votre inscription a bien été reçue. Veuillez conserver votre numéro d'inscription -- vous en aurez besoin pour modifier votre inscription ultérieurement.,"Ihre Anmeldung wurde erfolgreich empfangen. Bitte notieren Sie sich Ihre Anmeldungsnummer -- Sie benötigen sie, um Ihre Anmeldung später zu ändern."
trnreg,registration_id_label,Registration id,Inschrijvingsnummer,Numéro d'inscription,Anmeldungsnummer
trnreg,register_another,Register another player,Nog een speler inschrijven,Inscrire un autre joueur,Weiteren Spieler anmelden
trnreg,duplicate_error,This player is already registered for this tournament.,Deze speler is al ingeschreven voor dit toernooi.,Ce joueur est déjà inscrit à ce tournoi.,Dieser Spieler ist für dieses Turnier bereits angemeldet.
trnreg,registrations_not_open_yet,Registrations for this tournament have not opened yet.,De inschrijvingen voor dit toernooi zijn nog niet geopend.,Les inscriptions pour ce tournoi ne sont pas encore ouvertes.,Die Anmeldung für dieses Turnier ist noch nicht geöffnet.
trnreg,registrations_closed,Registrations for this tournament are closed.,De inschrijvingen voor dit toernooi zijn gesloten.,Les inscriptions pour ce tournoi sont clôturées.,Die Anmeldung für dieses Turnier ist geschlossen.
trnreg,load_tournament_failed,Failed to load tournament information.,Laden van de toernooi-informatie mislukt.,Échec du chargement des informations du tournoi.,Laden der Turnierinformationen fehlgeschlagen.
trnreg,load_registrations_failed,Failed to load registrations.,Laden van de inschrijvingen mislukt.,Échec du chargement des inscriptions.,Laden der Anmeldungen fehlgeschlagen.
trnreg,submit_failed,Failed to submit registration.,Versturen van de inschrijving mislukt.,Échec de l'envoi de l'inscription.,Absenden der Anmeldung fehlgeschlagen.
trnreg,update_failed,Failed to save changes.,Opslaan van de wijzigingen mislukt.,Échec de l'enregistrement des modifications.,Speichern der Änderungen fehlgeschlagen.
trnreg,delete_failed,Failed to delete registration.,Verwijderen van de inschrijving mislukt.,Échec de la suppression de l'inscription.,Löschen der Anmeldung fehlgeschlagen.
trnreg,update_success,Changes saved.,Wijzigingen opgeslagen.,Modifications enregistrées.,Änderungen gespeichert.
trnreg,delete_confirm,Delete this registration? This cannot be undone.,Deze inschrijving verwijderen? Dit kan niet ongedaan worden gemaakt.,Supprimer cette inscription ? Cette action est irréversible.,Diese Anmeldung löschen? Dies kann nicht rückgängig gemacht werden.
trnreg,delete_success,Registration deleted.,Inschrijving verwijderd.,Inscription supprimée.,Anmeldung gelöscht.
trnreg,registration_not_found,Registration not found.,Inschrijving niet gevonden.,Inscription introuvable.,Anmeldung nicht gefunden.
trnreg,list_title,Registrations,Inschrijvingen,Inscriptions,Anmeldungen
trnreg,list_filter,"Filter by name, club or id","Filteren op naam, club of nummer","Filtrer par nom, club ou numéro","Filtern nach Name, Verein oder Nummer"
trnreg,list_empty,No registrations yet.,Nog geen inschrijvingen.,Aucune inscription pour l'instant.,Noch keine Anmeldungen.
trnreg,list_count,registrations,inschrijvingen,inscriptions,Anmeldungen
trnreg,col_id,Id,Nummer,Numéro,Nummer
trnreg,col_name,Name,Naam,Nom,Name
trnreg,col_sex,Sex,Geslacht,Sexe,Geschlecht
trnreg,col_birth,Birth date,Geboortedatum,Date de naissance,Geburtsdatum
trnreg,col_club,Club,Club,Club,Verein
trnreg,col_category,Category,Categorie,Catégorie,Kategorie
trnreg,col_fide_id,FIDE id,FIDE-nummer,Numéro FIDE,FIDE-Nummer
trnreg,col_rating,Rating,Rating,Classement,Wertung
trnreg,col_email,Email,E-mail,E-mail,E-Mail
trnreg,col_phone,Phone,Telefoon,Téléphone,Telefon
trnreg,col_actions,Actions,Acties,Actions,Aktionen
trnreg,edit_btn,Edit,Wijzigen,Modifier,Bearbeiten
trnreg,delete_btn,Delete,Verwijderen,Supprimer,Löschen
trnreg,edit_registration_title,Edit registration,Inschrijving wijzigen,Modifier l'inscription,Anmeldung bearbeiten
trnreg,new_registration_title,New registration,Nieuwe inschrijving,Nouvelle inscription,Neue Anmeldung
trnreg,login_title,Arbiter / organizer login,Aanmelden arbiter / organisator,Connexion arbitre / organisateur,Anmeldung Schiedsrichter / Organisator
trnreg,field_username,Username,Gebruikersnaam,Nom d'utilisateur,Benutzername
trnreg,field_password,Password,Wachtwoord,Mot de passe,Passwort
trnreg,login_btn,Log in,Aanmelden,Se connecter,Anmelden
